GENE_NAME	GENE_ID	PRODUCT	CellType	LOG2FOLD	AVG_PVALUE	AVG_RANK	RoundRobin	RankProduct	SAM	EdgeR	DESeq	Rv0827c_ATC_RIF	Rv0827c_DMSO_RIF
echA6	Rv0905	enoyl-CoA hydratase EchA6	zinc_limitation:22%	-0.1123	0.910483661493376	926.75	965	1104	995	730	862	304.23	326.76
hisA	Rv1603	phosphoribosyl isomerase A	microaerophilic:38%	-0.1069	0.899290212068365	911.1	940	1057	1006	683	894	207.61	222.03
Rv0036c	Rv0036c	hypothetical protein	hypoxia_late:8%	-0.1155	0.916450737053666	926.94	967	1087	993	742	865	274.52	295.5
Rv2569c	Rv2569c	hypothetical protein	hypoxia_late:21%	-0.1293	0.976245878947006	923.36	854	839	900	898	1141	31.84	34.68
MTS2977	MTS2977	small intergenic RNA	ctl_exponential:10%	-0.1196	0.954508391472494	912.34	1046	1025	985	711	819	709.58	765.4
ftsH	Rv3610c	zinc metalloprotease FtsH	microaerophilic:18%; PBS_RIF_DDmtb:10%	-0.0992	0.856887152573029	908	980	1136	1072	691	709	281.65	299.48
dinP	Rv3056	DNA polymerase IV 2	hypoxia_late:13%	-0.1368	0.988175648594644	913.8	1001	791	982	798	1011	40.39	44.11
Rv0421c	Rv0421c	hypothetical protein	low_iron:17%	-0.1138	0.917343184639386	905.97	900	995	945	724	980	150.33	161.69
hemE	Rv2678c	uroporphyrinogen decarboxylase	hypoxia_late:9%	-0.1255	0.958402322334733	923.56	1021	1013	954	774	868	203.67	220.87
senX3	Rv0490	two component sensor histidine kinase SenX3	human_sputum:9%	-0.1032	0.860432050681064	903.9	970	1133	1027	693	737	320.3	341.57
mbtL	Rv1344	acyl carrier protein MbtL	low_iron:21%; human_sputum:13%	-0.1489	0.988321774997216	938.83	991	841	862	932	1078	110.16	121.63
Rv1291c	Rv1291c	hypothetical protein	hypoxia_late:40%; ctl_stationary:11%	-0.1614	0.99808961294258	901.55	908	626	596	1089	1411	13.06	14.73
lipD	Rv1923	lipase LipD	human_sputum:9%	-0.1114	0.900891160917765	901.64	946	1042	1001	692	850	153.91	165.33
vapB11	Rv1560	antitoxin VapB11	INDIGO_exponential:10%	-0.1347	0.975788429966403	917.85	826	843	809	943	1194	107.37	117.24
Rv3369	Rv3369	hypothetical protein	hypoxia_late:11%	-0.1278	0.956501254798851	917.47	935	998	922	773	968	164.34	178.63
Rv1924c	Rv1924c	hypothetical protein	INDIGO_exponential:10%	-0.1304	0.97603504901436	897.28	961	790	919	819	1007	216.06	235.6
menB	Rv0548c	1,4-dihydroxy-2-naphthoyl-CoA synthase	zinc_limitation:13%	-0.1105	0.869584766759649	905.82	938	1118	1000	703	800	316.2	339.12
Rv0021c	Rv0021c	hypothetical protein	hypoxia_late:11%; ctl_stationary:10%	-0.1278	0.967429959540995	896.58	976	932	943	731	912	78.22	84.97
mutB	Rv1493	methylmalonyl-CoA mutase large subunit	microaerophilic:11%; hypoxia_late:11%	-0.1177	0.944134723524468	876.55	1027	944	1017	663	763	85.49	92.12
Rv0268c	Rv0268c	hypothetical protein	acidic_tyloxopol:14%; human_sputum:12%	-0.1279	0.951307090828558	914.44	919	907	963	811	977	158.55	172.39
MT0009	MT0009	hypothetical protein	ctl_stationary:12%; hypoxia_late:12%	-0.2166	0.999792164588628	953.58	1045	657	717	1067	1369	24.22	28.46
Rv3254	Rv3254	hypothetical protein	hypoxia_late:8%	-0.1134	0.89064892060445	899.97	911	1058	984	684	886	93.81	100.87
Rv2258c	Rv2258c	transcriptional regulator	zinc_limitation:14%; high_iron:10%	-0.108	0.871076214714892	887.99	960	1066	1022	685	741	378.11	404.55
MT0383	MT0383	hypothetical protein	hypoxia_late:15%	-0.1354	0.980040580385354	896.74	947	833	872	807	1034	111.74	122.37
Rv3502c	Rv3502c	short-chain type dehydrogenase/reductase	hypoxia_fatty_acids:17%; microaerophilic:14%; cholesterol:10%	-0.1244	0.926782726695376	910.52	923	1023	942	760	915	104.77	113.48
espK	Rv3879c	ESX-1 secretion-associated protein EspK	PBS_RIF_DDmtb:10%	-0.1479	0.986000695074218	910.66	1017	830	839	762	1130	327.31	360.7
lppM	Rv2171	lipoprotein LppM	PBS_RIF_DDmtb:11%	-0.1165	0.910404469173594	885.99	869	953	937	721	962	129.94	140.01
espR	Rv3849	ESX-1 transcriptional regulator EspR	acidic:9%	-0.1144	0.879412182890882	899.48	899	1052	989	720	856	533.91	574.29
Rv3751	Rv3751	integrase	hypoxia_late:25%	-0.1977	0.999724055008702	892.82	1028	480	620	1078	1421	17.54	20.55
Rv3575c	Rv3575c	LacI family transcriptional regulator	hypoxia_late:14%	-0.1325	0.955467942474435	901.8	975	962	918	766	896	106.38	116.07
cyp140	Rv1880c	cytochrome P450 Cyp140	ctl_exponential:8%	-0.1104	0.850232117131764	892.2	933	1116	1003	690	754	321.58	344.86
MT3080.1	MT3080.1	hypothetical protein	zinc_limitation:10%	-0.1195	0.915124043872672	884.94	880	975	877	727	978	359.4	387.79
hadB	Rv0636	(3R)-hydroxyacyl-ACP dehydratase subunit HadB	acidic:11%; ctl_exponential:10%; INDIGO_exponential:10%	-0.1093	0.850103918583488	887.05	939	1092	997	689	751	1131.53	1212.04
Rv0374c	Rv0374c	carbon monoxyde dehydrogenase small subunit	hypoxia_late:36%; ctl_stationary:18%; PBS_RIF_DDmtb:10%	-0.1809	0.993862376236824	969.58	728	345	508	3133	1000	12.42	15.4
Rv0367c	Rv0367c	hypothetical protein	hypoxia_late:15%; ctl_stationary:10%	-0.1376	0.978659857329612	885.83	932	812	852	810	1033	119.54	131.11
Rv0697	Rv0697	dehydrogenase	acidic:18%; hypoxia_late:11%	-0.1206	0.928341384334851	869.03	883	876	965	688	948	53.44	57.74
Rv2375	Rv2375	hypothetical protein	butyrate_plus_glucose:11%; butyrate:10%	-0.1132	0.882325734532463	869.99	936	984	1002	679	773	865.16	929.63
lppL	Rv2138	lipoprotein LppL	human_sputum:11%	-0.126	0.948979812545725	879.07	930	855	975	739	906	97.65	105.96
rpfA	Rv0867c	resuscitation-promoting factor RpfA	tyloxopol:14%; human_sputum:12%	-0.1135	0.856418463328233	891.84	916	1093	980	717	779	355.35	381.94
ppiB	Rv2582	peptidyl-prolyl cis-trans isomerase B	tyloxopol:11%	-0.1194	0.909469369389188	879.22	897	971	934	698	910	115.51	124.88
MT0725	MT0725	hypothetical protein	hypoxia_hypoxic:10%	-0.1583	0.994511107505026	875.37	873	639	739	975	1204	137.35	152.65
Rv0494	Rv0494	HTH-type transcriptional regulator	hypoxia_late:25%; ctl_stationary:12%	-0.1358	0.964793694080883	891.67	782	840	799	917	1143	37.83	41.48
PE_PGRS29	Rv1468c	PE-PGRS family protein PE_PGRS29	hypoxia_late:16%; microaerophilic:14%	-0.1444	0.971125464964312	906.45	950	895	850	741	1117	187.63	206.33
MT0472.1	MT0472.1	hypothetical protein	ctl_stationary:15%; hypoxia_late:14%	-0.165	0.991879062987214	904.29	628	308	406	3516	801	23.5	28.69
glyS	Rv2357c	glycine--tRNA ligase	hypoxia_late:14%	-0.1131	0.853551404900508	870.93	920	1054	961	641	809	130.1	139.71
Rv2219	Rv2219	transmembrane protein	cholesterol:8%	-0.114	0.852366549123601	878	901	1067	988	697	764	572.65	615.45
galE1	Rv3634c	UDP-glucose 4-epimerase	acidic_tyloxopol:13%; acidic:13%	-0.115	0.854326436085818	880.45	905	1082	952	687	802	273.72	294.55
MT3483	MT3483	hypothetical protein	PBS_RIF_DDmtb:13%; hypoxia_late:13%	-0.1725	0.996223090202911	886.28	860	669	637	1021	1330	42.59	48.03
Rv3786c	Rv3786c	hypothetical protein	hypoxia_late:15%	-0.1198	0.897591603663298	862.68	847	949	928	678	927	68.95	74.43
Rv2426c	Rv2426c	hypothetical protein	hypoxia_late:12%	-0.1182	0.8970961908316	855.36	904	908	990	645	851	140.62	151.48
opcA	Rv1446c	OXPP cycle protein OpcA	human_sputum:11%	-0.119	0.860944188356133	872.14	866	1043	941	696	834	211.34	228.14
cspB	Rv0871	cold shock-like protein CspB	acidic:8%	-0.118	0.852147064348352	866.77	888	1036	967	674	793	508.09	547.31
Rv0567	Rv0567	methyltransferase/methylase	zinc_limitation:23%	-0.1145	0.846344421004577	858.28	896	1041	938	634	811	167.93	180.55
Rv3813c	Rv3813c	hypothetical protein	hypoxia_late:11%	-0.1184	0.877415819479458	854.75	898	976	958	640	825	160.7	173.15
PPE32	Rv1808	PPE family protein PPE32	acidic:31%; acidic_tyloxopol:11%	-0.1278	0.911871794996548	866.19	890	952	907	714	878	98.34	107.02
aceAb	Rv1916	isocitrate lyase AceAb	acidic_tyloxopol:9%	-0.1148	0.844660752255392	858.89	887	1028	956	637	814	141.62	152.41
gpm1	Rv0489	2,3-bisphosphoglycerate-dependent phosphoglycerate mutase	INDIGO_exponential:12%	-0.1183	0.859161649364353	860.97	886	1003	947	661	829	193.12	208.09
Rv1919c	Rv1919c	hypothetical protein	ctl_exponential:15%; acidic:13%	-0.1181	0.863955591810806	856.13	921	1007	953	658	767	451.62	486.68
sseC1	Rv3118	hypothetical protein	low_iron:9%	-0.1158	0.846504284853127	860.83	891	1022	936	667	810	654.22	704.27
rplD	Rv0702	50S ribosomal protein L4	butyrate_plus_glucose:10%	-0.1078	0.799504011307732	855.32	937	1051	1025	665	645	2394.98	2561.3
Rv1683	Rv1683	bifunctional long-chain acyl-CoA synthase/lipase	microaerophilic:17%	-0.1081	0.797307981195228	855.9	941	1088	977	654	665	248.22	265.67
Rv1519	Rv1519	hypothetical protein	human_sputum:15%; hypoxia_late:12%; hypoxia_hypoxic:12%	-0.19	0.998082771089979	895.08	1029	603	815	906	1177	28.66	32.78
serB2	Rv3042c	phosphoserine phosphatase SerB	tyloxopol:12%	-0.1103	0.813235168738075	855.79	922	1033	1013	656	693	392.23	420.27
MT3921	MT3921	hypothetical protein	hypoxia_late:12%	-0.1605	0.989082622228609	866.03	830	667	707	934	1250	79.36	88.44
Rv2264c	Rv2264c	hypothetical protein	hypoxia_late:23%	-0.1227	0.915305464217687	841.02	885	865	944	653	874	49.89	53.98
spoU	Rv3366	tRNA/rRNA methylase SpoU	human_sputum:25%; hypoxia_late:15%	-0.186	0.997143846103141	900.46	906	550	860	1066	1191	22.36	25.47
snoP	Rv2604c	glutamine amidotransferase SnoP	hypoxia_late:10%	-0.1178	0.856192177995721	853.8	876	1002	897	668	844	239.27	257.95
Rv0500B	Rv0500B	conserved hypothetical protein	acidic:19%; ctl_exponential:15%	-0.15	0.973678656869462	865.43	984	872	846	643	1008	3099.61	3416.21
esxN	Rv1793	ESAT-6 like protein EsxN	acidic:9%	-0.1112	0.806575932730044	853.02	925	1068	959	649	702	1639.25	1757.68
Rv2265	Rv2265	integral membrane protein	hypoxia_late:41%; ctl_stationary:10%	-0.156	0.987233239358397	854.54	870	710	821	823	1068	17.84	19.85
Rv3747	Rv3747	hypothetical protein	ctl_exponential:16%	-0.1231	0.858487426122228	863.8	832	1017	925	702	859	452.33	489.62
fusA1	Rv0684	elongation factor G	INDIGO_exponential:9%	-0.1087	0.788615896647399	845.36	924	1046	1019	636	650	1481.96	1585.83
Rv2306A	Rv2306A	conserved membrane protein	hypoxia_late:19%	-0.15	0.982241320504244	839.35	865	689	813	792	1059	45.08	49.76
Rv3486	Rv3486	hypothetical protein	nutrient_limitation:22%; butyrate_plus_glucose:12%	-0.1192	0.859447081884933	842.64	846	941	931	662	849	288.07	310.71
Rv2854	Rv2854	hypothetical protein	hypoxia_late:16%	-0.1349	0.917196673894126	864.44	775	922	858	784	993	46.7	51.09
ureG	Rv1852	urease accessory protein UreG	hypoxia_late:20%	-0.1313	0.911596984820914	856.94	805	936	817	764	972	85.14	92.76
Rv0514	Rv0514	transmembrane protein	high_iron:12%	-0.1268	0.909836743286343	844.29	910	897	916	670	842	388.74	421.46
Rv2536	Rv2536	transmembrane protein	human_sputum:8%	-0.1176	0.833549910198359	847.28	868	1011	930	664	785	313.97	338.42
Rv1065	Rv1065	hypothetical protein	acidic_tyloxopol:14%; zinc_limitation:12%	-0.1188	0.8528875616652	834.51	856	964	874	639	858	212.16	228.84
MT3876	MT3876	hypothetical protein	tyloxopol:9%	-0.1204	0.849098469740385	842.03	861	1004	901	642	824	252.1	272.09
narL	Rv0844c	nitrate/nitrite response transcriptional regulator NarL	hypoxia_late:10%	-0.1145	0.827568387690377	831.53	884	981	951	597	776	267.86	287.81
MT1775	MT1775	hypothetical protein	nutrient_limitation:42%; cholesterol:23%	-0.1435	0.951006444403042	854.08	959	888	946	719	772	397.5	435.91
ggtB	Rv2394	gamma-glutamyltranspeptidase precursor GgtB	PBS_RIF_DDmtb:11%	-0.1132	0.792203050325138	834.99	892	1015	972	632	699	246.79	265.11
Rv2023c	Rv2023c	hypothetical protein	hypoxia_late:25%	-0.1703	0.990822027890287	847.73	1004	747	834	740	929	81.88	91.55
Rv3594	Rv3594	hypothetical protein	PBS_RIF_DDmtb:12%; hypoxia_late:11%	-0.1267	0.887038752781205	835.99	815	905	893	671	909	92.36	100.13
carA	Rv1383	carbamoyl-phosphate synthase small subunit	hypoxia_late:14%; zinc_limitation:13%	-0.1272	0.872777113022723	845.67	840	983	883	680	857	101.45	110.18
Rv0435c	Rv0435c	ATPase	hypoxia_late:10%	-0.1113	0.785747616516709	828.67	902	1026	966	605	686	143.48	153.91
gdh	Rv2476c	NAD-dependent glutamate dehydrogenase	zinc_limitation:10%	-0.1102	0.772031216422691	831.15	907	1027	999	627	642	361.59	387.5
Rv0625c	Rv0625c	transmembrane protein	hypoxia_late:25%	-0.142	0.949838718417632	836.05	918	845	831	710	884	92.17	101.2
phoY1	Rv3301c	phosphate transport system transcriptional regulator PhoY	INDIGO_exponential:10%	-0.1188	0.82872335277109	831.58	872	992	909	614	797	240.83	259.66
rpsN2	Rv2056c	30S ribosomal protein S14	zinc_limitation:40%; human_sputum:27%	-0.1873	0.995813798874684	861.69	903	625	720	896	1222	28.83	32.91
Rv1762c	Rv1762c	hypothetical protein	hypoxia_late:18%; ctl_stationary:12%	-0.1361	0.931435004489439	832.2	797	825	820	746	982	58.08	63.47
Rv2581c	Rv2581c	glyoxalase II	microaerophilic:8%	-0.117	0.821339163824434	822.46	831	930	981	625	770	261.32	281.4
clpP1	Rv2461c	ATP-dependent CLP protease proteolytic subunit 1	zinc_limitation:10%	-0.113	0.778320477203953	830.6	913	1060	935	626	662	856.62	919.68
hycD	Rv0084	formate hydrogenlyase HycD	hypoxia_late:9%	-0.1428	0.948001617320075	834.96	989	934	856	652	766	141.34	155.35
Rv2658c	Rv2658c	prophage protein	ctl_stationary:18%; hypoxia_fatty_acids:17%; hypoxia_late:12%	-0.1718	0.990749207355463	835.92	928	696	714	794	1077	47.74	53.48
irtB	Rv1349	iron ABC transporter ATP-binding protein/permease IrtB	low_iron:24%; hypoxia_late:16%	-0.1356	0.905253252107816	837.53	750	881	842	752	973	28.26	30.93
Rv1575	Rv1575	phage protein	microaerophilic:47%	-0.1602	0.985556219667673	813.06	827	627	728	816	1104	38.38	42.74
trmU	Rv3024c	tRNA-specific 2-thiouridylase	hypoxia_late:9%	-0.1201	0.823446309862198	820.66	851	968	910	609	790	142.04	153.32
lipA	Rv2218	lipoyl synthase	tyloxopol:9%	-0.1208	0.814409534190918	820.83	822	969	912	644	777	220.61	238.51
Rv2044c	Rv2044c	hypothetical protein	hypoxia_late:13%; ctl_stationary:10%	-0.1592	0.980068482884721	817.76	457	240	253	3447	992	16.83	20.69
Rv0004	Rv0004	hypothetical protein	hypoxia_late:9%	-0.124	0.849345948575573	813.35	819	906	871	633	853	182.97	198.05
Rv1287	Rv1287	HTH-type transcriptional regulator	acidic_tyloxopol:24%; hypoxia_fatty_acids:13%	-0.1367	0.913238070761803	815.9	808	805	824	708	943	119.54	130.63
Rv3277	Rv3277	transmembrane protein	tyloxopol:11%; human_sputum:10%	-0.1379	0.921906405918986	814.66	926	866	857	657	781	177.08	193.77
mymA	Rv3083	FAD-containing monooxygenase MymA	nutrient_limitation:15%	-0.1174	0.781611844486511	808.17	845	958	978	607	687	184.44	198.62
Rv2628	Rv2628	hypothetical protein	cholesterol:49%; microaerophilic:10%	-0.1797	0.983938950896341	858.19	1057	973	803	694	789	158.97	179.28
Rv2571c	Rv2571c	transmembrane protein	hypoxia_late:17%	-0.1294	0.876987305699179	804.18	874	859	929	599	782	104.22	113.14
Rv2787	Rv2787	hypothetical protein	hypoxia_late:16%; ctl_stationary:12%	-0.1557	0.975252293440915	804	894	614	881	770	880	28.38	31.47
metS	Rv1007c	methionine--tRNA ligase	zinc_limitation:8%	-0.1212	0.797399291100065	811.69	844	996	899	606	742	120.65	130.33
Rv2298	Rv2298	oxidoreductase	PBS_RIF_DDmtb:8%	-0.1191	0.791001777513047	802.63	835	957	924	584	743	201.01	216.86
Rv2656c	Rv2656c	prophage protein	hypoxia_hypoxic:8%	-0.14	0.937633597549265	792.5	912	794	800	635	835	191.12	209.18
usfY	Rv3288c	hypothetical protein	microaerophilic:25%; ctl_stationary:16%; hypoxia_fatty_acids:14%; nutrient_limitation:13%	-0.1485	0.957174574846598	801.48	862	736	779	722	917	115.6	127.6
Rv1194c	Rv1194c	hypothetical protein	low_iron:10%	-0.127	0.832224299549909	814.3	858	955	903	646	730	221.66	240.43
Rv2714	Rv2714	hypothetical protein	ctl_stationary:9%	-0.1188	0.79701623991994	797.42	838	938	920	566	756	166.35	179.34
Rv3338	Rv3338	conserved hypothetical protein	low_iron:16%	-0.1334	0.874081285320836	806.64	767	889	804	686	897	106.52	116.1
rnhB	Rv2902c	ribonuclease HII	high_iron:9%	-0.1177	0.775885938558127	797.94	889	963	940	596	641	707.47	762.07
Rv0108c	Rv0108c	hypothetical protein	ctl_exponential:20%	-0.1229	0.784898175025199	813.96	823	988	911	650	721	1805.19	1951.91
recF	Rv0003	DNA replication/repair protein RecF	hypoxia_late:13%; human_sputum:12%	-0.1249	0.847027126368653	791.2	859	849	955	575	746	132.81	143.74
mutY	Rv3589	adenine glycosylase	hypoxia_late:21%	-0.1249	0.826528546746394	799.75	807	917	838	620	833	126.84	137.49
Rv1576c	Rv1576c	phage capsid protein	microaerophilic:54%	-0.1227	0.813895807588575	788	803	901	892	574	794	84.97	91.91
mihF	Rv1388	integration host factor MihF	zinc_limitation:13%; hypoxia_rar:11%	-0.14	0.895058881225034	802.17	931	880	841	669	706	2016.24	2207.53
Rv1904	Rv1904	hypothetical protein	acidic_tyloxopol:15%; acidic:11%	-0.1287	0.855588588368812	787.36	836	832	891	615	778	326.81	355.06
MT2586.1	MT2586.1	hypothetical protein	hypoxia_late:15%	-0.1987	0.996883796472744	807.99	917	533	686	859	1106	24.47	28.09
echA15	Rv2679	enoyl-CoA hydratase EchA15	hypoxia_late:13%	-0.1343	0.842122118469977	811.55	766	939	844	675	846	108.29	118.28
Rv0498	Rv0498	hypothetical protein	hypoxia_late:12%	-0.1295	0.823035533903314	800.38	796	948	835	628	812	133.29	144.86
pepQ	Rv2535c	cytoplasmic peptidase PepQ	microaerophilic:8%	-0.1204	0.754588120598978	791.96	842	1001	888	592	672	269.17	290.55
hab	Rv3078	hydroxylaminobenzene mutase	hypoxia_late:9%	-0.1513	0.934730240322332	791.99	794	751	761	728	934	101.42	112.05
Rv3603c	Rv3603c	hypothetical protein	hypoxia_rar:11%	-0.1245	0.810788426412975	783.19	801	898	864	570	806	129.06	139.71
Rv3807c	Rv3807c	decaprenylphosphoryl-5-phosphoribose phosphatase	high_iron:10%	-0.1293	0.813902120159179	795.93	857	943	868	617	717	480.46	521.77
Rv1231c	Rv1231c	membrane protein	hypoxia_late:10%	-0.1326	0.8460758567654	791.87	759	868	828	660	854	157.9	172.03
Rv2003c	Rv2003c	hypothetical protein	hypoxia_hypoxic:18%; cholesterol:15%	-0.1502	0.944404286008583	784.18	849	703	827	666	888	56.8	62.67
Rv2554c	Rv2554c	Holliday junction resolvase	microaerophilic:37%	-0.1221	0.772868697672535	785.92	829	951	882	572	725	406.58	439.29
lppQ	Rv2341	lipoprotein LppQ	hypoxia_late:25%; ctl_stationary:14%; PBS_RIF_DDmtb:11%	-0.2212	0.991799494010788	881.92	640	286	369	3067	1004	8.36	10.99
Rv2307B	Rv2307B	hypothetical protein	hypoxia_late:19%	-0.179	0.976465179146935	818.93	432	276	308	3489	845	16.63	20.68
Rv1499	Rv1499	hypothetical protein	ctl_stationary:12%; hypoxia_late:10%	-0.1799	0.9883956588375	786.14	811	563	663	853	1091	35.61	40.28
Rv0401	Rv0401	transmembrane protein	hypoxia_late:29%	-0.1675	0.973044585260558	785.46	820	648	696	771	1017	63.21	70.82
Rv1682	Rv1682	hypothetical protein	nutrient_limitation:19%; PBS_RIF_DDmtb:11%	-0.1505	0.911746311678109	789.19	666	704	781	793	1025	33.1	36.64
Rv0813c	Rv0813c	hypothetical protein	low_iron:10%	-0.1225	0.75733662455804	784.19	825	982	869	568	710	309.17	334.15
carD	Rv3583c	RNA polymerase-binding transcription factor CarD	microaerophilic:12%; nutrient_limitation:11%	-0.1209	0.728134303137301	786.67	841	1020	890	588	636	6076.84	6560.91
Rv1739c	Rv1739c	sulfate ABC transporter permease	cholesterol:17%; ctl_stationary:16%; nutrient_limitation:10%	-0.1734	0.973161179917234	798.14	929	740	778	610	960	79.24	88.84
Rv2348c	Rv2348c	hypothetical protein	human_sputum:16%; acidic:14%; ctl_exponential:11%	-0.1185	0.722919375888291	782.61	853	994	923	580	609	1708.61	1840.84
fadE32	Rv3563	acyl-CoA dehydrogenase FadE32	hypoxia_late:36%; human_sputum:15%	-0.1545	0.95033858715295	776.76	745	656	768	747	986	31.68	35.12
ilvB1	Rv3003c	acetolactate synthase large subunit IlvB	hypoxia_rar:10%	-0.1216	0.74090433148596	784.79	821	991	896	594	657	252.24	272.64
Rv2307D	Rv2307D	hypothetical protein	tyloxopol:11%	-0.1989	0.993696501587564	797.73	878	528	659	814	1184	44.85	51.37
MT2363	MT2363	hypothetical protein	hypoxia_late:19%	-0.1537	0.943130354113217	770.55	731	647	754	755	985	46.78	51.72
pheU	Rvnt13	tRNA-Phe	hypoxia_late:31%; zinc_limitation:12%	-0.2353	0.997089937626952	849.4	753	216	230	2971	1150	22.09	28.89
MT0270.2	MT0270.2	hypothetical protein	human_sputum:10%	-0.1443	0.89025124570484	782.53	705	760	733	743	987	177.64	195.51
fadE6	Rv0271c	acyl-CoA dehydrogenase FadE6	microaerophilic:21%	-0.1185	0.714987076914433	775.31	852	993	886	571	618	229.46	247.39
Rv3658c	Rv3658c	transmembrane protein	hypoxia_late:19%	-0.1408	0.874378342404795	772.7	715	792	757	681	930	62.39	68.44
PE_PGRS50	Rv3345c	PE-PGRS family protein PE_PGRS50	hypoxia_late:56%	-0.1849	0.967799434531799	827.29	385	316	287	3903	729	21.17	26.42
Rv3402c	Rv3402c	hypothetical protein	low_iron:42%; hypoxia_hypoxic:10%	-0.1739	0.980289926301692	772.52	837	549	788	791	925	22.47	25.29
MT1367.1	MT1367.1	hypothetical protein	microaerophilic:17%; hypoxia_late:11%	-0.1971	0.987913911149181	808.22	546	205	241	3170	1065	30.23	38
korB	Rv2454c	2-oxoglutarate oxidoreductase subunit KorB	zinc_limitation:11%	-0.1166	0.693903701555958	769.36	855	970	921	558	592	604.52	650.63
tyrS	Rv1689	tyrosine--tRNA ligase	hypoxia_late:14%	-0.1226	0.755365946754965	766.73	816	911	884	537	718	146.61	158.46
Rv0691A	Rv0691A	electron carrier mycofactocin	nutrient_limitation:15%; tyloxopol:13%; acidic_tyloxopol:11%	-0.1318	0.802350226051355	778.22	817	875	878	629	708	1796.65	1955.34
Rv2420c	Rv2420c	hypothetical protein	hypoxia_late:9%	-0.1406	0.864579705504593	769.38	726	793	786	651	902	146.41	160.27
Rv3657c	Rv3657c	membrane protein	hypoxia_late:50%	-0.1707	0.960706381417959	785.61	365	253	318	3625	734	21.64	26.65
pra	Rv1078	hypothetical protein	tyloxopol:10%; ctl_exponential:10%	-0.1212	0.713604413156339	780.11	833	1014	894	586	617	1377.81	1488.17
aftA	Rv3792	arabinofuranosyltransferase	hypoxia_late:18%	-0.1286	0.802454520877103	759.62	834	869	887	536	703	88.15	95.81
gpgP	Rv2419c	glucosyl-3-phosphoglycerate phosphatase	zinc_limitation:9%	-0.1269	0.786325711776401	765.94	761	884	837	590	775	211.61	229.82
MT3952	MT3952	hypothetical protein	hypoxia_late:22%; ctl_stationary:14%; PBS_RIF_DDmtb:11%	-0.1984	0.985380535190032	811.66	545	208	214	3248	1093	37.5	47.33
rpsQ	Rv0710	30S ribosomal protein S17	INDIGO_exponential:11%; hypoxia_rar:10%	-0.1249	0.725222716753573	781.39	812	980	904	623	622	1804.29	1953.04
menA	Rv0534c	1,4-dihydroxy-2-naphthoate octaprenyltransferase	hypoxia_late:32%	-0.1544	0.902520810707911	782.83	828	800	807	659	827	77.34	85.55
Rv0674	Rv0674	hypothetical protein	PBS_RIF_DDmtb:23%	-0.1361	0.83850472534871	761.63	735	806	796	619	864	98.85	107.93
Rv2464c	Rv2464c	DNA glycosylase	PBS_RIF_DDmtb:9%	-0.1309	0.78794070408329	764.22	764	873	880	577	748	156.68	170.26
ispF	Rv3581c	2C-methyl-D-erythritol 2,4-cyclodiphosphate synthase	microaerophilic:18%	-0.1341	0.848977558379461	746.51	909	828	898	549	590	699.25	761.31
MT3058.2	MT3058.2	hypothetical protein	hypoxia_late:40%	-0.1722	0.958662834284807	780.76	381	259	252	3655	771	90.19	110.6
pyrC	Rv1381	dihydroorotase	hypoxia_late:20%; zinc_limitation:12%	-0.134	0.795125396774183	768.48	802	921	818	587	735	112.73	122.98
Rv2611c	Rv2611c	phosphatidylinositol mannoside acyltransferase	zinc_limitation:9%	-0.125	0.747976580316755	758.79	787	894	873	544	724	188.52	204.29
Rv2061c	Rv2061c	hypothetical protein	tyloxopol:10%	-0.1289	0.790232022056036	749.93	771	860	801	557	780	281.25	305.36
Rv0566c	Rv0566c	hypothetical protein	hypoxia_late:11%; ctl_exponential:10%	-0.1486	0.892119122131289	758.25	741	764	769	655	870	117.21	129.13
Rv1868	Rv1868	hypothetical protein	hypoxia_late:14%; PBS_RIF_DDmtb:12%	-0.1229	0.741274727597598	753.51	784	883	908	523	704	85.29	92.25
MT3754	MT3754	hypothetical protein	hypoxia_late:14%	-0.2091	0.990995302659154	800.39	948	671	611	825	981	67.33	77.69
fba	Rv0363c	fructose-bisphosphate aldolase	zinc_limitation:10%	-0.1247	0.734839981897814	756.84	839	929	913	561	586	424.1	458.93
MTS2873	MTS2873	small intergenic RNA	butyrate:18%; acidic_tyloxopol:13%; butyrate_plus_glucose:10%	-0.2061	0.97379212801827	836.26	378	350	292	3918	716	348.8	440.15
mshC	Rv2130c	cysteine:1D-myo-inosityl 2-amino-2-deoxy--D-glucopyranoside ligase	microaerophilic:8%	-0.1336	0.774035071132578	759.72	813	918	843	569	682	163.83	178.59
narJ	Rv1163	nitrate reductase subunit delta	acidic_tyloxopol:11%; microaerophilic:10%	-0.1284	0.772032596591629	747.31	756	867	826	563	744	227.42	247
Rv3169	Rv3169	hypothetical protein	butyrate:25%; hypoxia_late:11%	-0.1443	0.856881220317071	750.29	786	775	848	604	750	89.02	97.8
Rv1429	Rv1429	hypothetical protein	human_sputum:21%; hypoxia_late:21%; ctl_stationary:12%	-0.1627	0.933225869836575	754.37	843	741	755	638	803	40.39	45.03
snzP	Rv2606c	pyridoxine biosynthesis protein	zinc_limitation:11%	-0.1298	0.735757692033862	766.61	777	945	847	612	675	410.52	446.31
eccB3	Rv0283	ESX-3 secretion system protein EccB3	microaerophilic:45%; zinc_limitation:15%	-0.1234	0.684487496187552	754.69	814	979	863	564	596	421.96	456.45
