GENE_NAME	GENE_ID	PRODUCT	CellType	LOG2FOLD	AVG_PVALUE	AVG_RANK	RoundRobin	RankProduct	SAM	EdgeR	DESeq	Rv1473A_ATC_RIF	Rv1473A_DMSO_RIF
Rv2978c	Rv2978c	transposase	zinc_limitation:32%; cholesterol:13%	-0.1264	0.539568062262191	1132.99	1121	1197	1174	1362	844	327.69	357.29
infB	Rv2839c	translation initiation factor IF-2	PBS_RIF_DDmtb:15%	-0.1259	0.490619590450072	1142.18	1108	1253	1177	1372	838	562.61	613.04
Rv1364c	Rv1364c	sigma factor regulatory protein	hypoxia_late:11%	-0.1302	0.595081808760222	1125.31	1065	1177	1082	1373	951	80.36	88
mmpL11	Rv0202c	transmembrane transport protein MmpL11	cholesterol:18%	-0.1197	0.416915754725145	1133.44	1132	1271	1163	1338	804	228.39	247.86
Rv0474	Rv0474	HTH-type transcriptional regulator	hypoxia_hypoxic:14%	-0.1461	0.730700722596684	1139.16	1021	1105	1036	1436	1121	123.91	137.03
Rv1730c	Rv1730c	penicillin-binding protein	human_sputum:14%; hypoxia_late:11%	-0.1463	0.713391926714693	1141.8	978	1084	1081	1502	1097	41.42	46.08
vapC23	Rv2863	ribonuclease VapC23	hypoxia_late:17%; ctl_stationary:14%	-0.166	0.845922030794813	1149.61	989	1003	1020	1505	1273	46.18	51.79
MT1790	MT1790	hypothetical protein	hypoxia_late:31%	-0.1833	0.947040855703414	1125.79	1014	861	757	1708	1424	74.18	84.51
Rv1081c	Rv1081c	membrane protein	hypoxia_late:19%	-0.1649	0.83759612840193	1147.35	998	1026	1043	1466	1236	45.77	51.22
Rv0395	Rv0395	hypothetical protein	hypoxia_late:55%; ctl_stationary:11%	-0.2556	0.996769591634278	1156.41	1192	729	945	1577	1448	5.11	6.42
Rv0372c	Rv0372c	hypothetical protein	hypoxia_late:52%; ctl_stationary:11%	-0.2028	0.970796970659363	1150.6	1018	819	892	1775	1375	5.83	7
lprH	Rv1418	lipoprotein LprH	INDIGO_exponential:9%	-0.1395	0.641044312173961	1125.21	1006	1119	1096	1427	1003	166.05	183.14
erm(37)	Rv1988	23S rRNA methyltransferase	PBS_RIF_DDmtb:10%	-0.1418	0.683883846566966	1118.15	1050	1107	1077	1383	993	181.72	200.45
htrA	Rv1223	serine protease HtrA	PBS_RIF_DDmtb:13%	-0.118	0.361954689993548	1116.92	1142	1290	1114	1310	774	508.22	550.83
trpC	Rv1611	indole-3-glycerol phosphate synthase	INDIGO_exponential:13%; high_iron:11%; ctl_exponential:11%	-0.1219	0.412421114492026	1123.53	1119	1259	1147	1324	807	967	1050.84
Rv3631	Rv3631	transferase	zinc_limitation:10%; hypoxia_late:10%	-0.1637	0.822938723198161	1129.74	1059	1053	1061	1416	1080	56.52	63.33
Rv3327	Rv3327	transposase fusion protein	hypoxia_late:18%; ctl_stationary:10%	-0.1475	0.702845583974923	1124.68	1004	1101	1040	1418	1083	28.72	31.89
cysU	Rvnt33	tRNA-Cys	hypoxia_late:16%; human_sputum:14%; zinc_limitation:13%	-0.2386	0.99112192434096	1148.76	1209	696	1120	1532	1275	54.76	65.22
MT1404	MT1404	hypothetical protein	hypoxia_late:14%	-0.1842	0.910467110436509	1141.14	995	923	965	1569	1318	43.55	49.56
Rv0818	Rv0818	transcriptional regulator	microaerophilic:18%	-0.1315	0.527983286640084	1124.64	1053	1173	1152	1388	887	420.06	460.01
trpT	Rvnt08	tRNA-Trp	zinc_limitation:20%; human_sputum:13%	-0.1464	0.698175353659444	1112.97	1000	1059	977	1456	1104	563.53	624.1
Rv1232c	Rv1232c	hypothetical protein	PBS_RIF_DDmtb:10%	-0.1314	0.544670900768185	1114.71	1062	1179	1103	1353	901	158.77	173.8
Rv3371	Rv3371	diacyglycerol O-acyltransferase	nutrient_limitation:21%	-0.1459	0.665310747010939	1123.37	985	1100	1080	1445	1034	56.57	62.73
pmmA	Rv3257c	phosphomannomutase PmmA	ctl_exponential:9%	-0.1261	0.436463368482483	1116.33	1103	1229	1138	1334	814	371.27	404.6
Rv0481c	Rv0481c	hypothetical protein	human_sputum:20%; hypoxia_late:12%	-0.174	0.870212491602107	1122.22	1112	978	1084	1410	1050	75.13	84.53
narJ	Rv1163	nitrate reductase subunit delta	acidic_tyloxopol:11%; microaerophilic:10%	-0.1366	0.601692600517678	1106.1	1043	1126	1059	1359	963	202.07	221.9
Rv2575	Rv2575	membrane protein	high_iron:8%	-0.1311	0.524055726290276	1109.51	1055	1166	1093	1361	898	257.68	282.15
mprB	Rv0982	two component histidine-protein kinase/phosphatase MprB	microaerophilic:16%; nutrient_limitation:11%	-0.1275	0.456808382110573	1116.88	1080	1211	1139	1351	837	273.74	298.81
ripA	Rv1477	peptidoglycan endopeptidase RipA	high_iron:14%; tyloxopol:13%; hypoxia_hypoxic:11%; INDIGO_exponential:11%	-0.1204	0.344251680525154	1108.18	1126	1273	1137	1301	752	771.29	837.24
MT3744	MT3744	hypothetical protein	hypoxia_late:33%; ctl_stationary:18%; PBS_RIF_DDmtb:15%	-0.2903	0.999743215116524	1084.99	1243	465	554	1956	1609	2.84	4.11
Rv3922c	Rv3922c	membrane protein insertion efficiency factor	acidic:15%; INDIGO_exponential:11%	-0.1291	0.465314136850743	1108.1	1066	1202	1105	1350	849	1015.12	1109.47
Rv3433c	Rv3433c	bifunctional ADP-dependent (S)-NAD(P)H-hydrate dehydratase/NAD(P)H-hydrate epimerase	hypoxia_late:35%	-0.1534	0.726258883995761	1108.28	1051	1065	1106	1363	975	59.87	66.53
ephF	Rv0134	epoxide hydrolase EphF	INDIGO_exponential:9%	-0.1309	0.499147453962578	1107.64	1060	1171	1112	1347	875	317.61	347.59
Rv1255c	Rv1255c	HTH-type transcriptional regulator	hypoxia_fatty_acids:18%	-0.1575	0.742866805446106	1110.76	1034	1023	1071	1434	1018	112.05	124.92
Rv2686c	Rv2686c	antibiotic ABC transporter permease	PBS_RIF_DDmtb:12%	-0.1749	0.850519263593215	1124.05	1020	981	1046	1476	1130	35.47	40.16
Rv0184	Rv0184	hypothetical protein	zinc_limitation:18%; PBS_RIF_DDmtb:10%	-0.1307	0.486336352169086	1103.97	1075	1184	1095	1331	862	372.31	407.02
lipL	Rv1497	esterase LipL	hypoxia_hypoxic:10%	-0.1301	0.463635703577265	1102.5	1098	1170	1153	1329	799	475.25	519.47
Rv0383c	Rv0383c	hypothetical protein	hypoxia_fatty_acids:8%	-0.1256	0.376769180737077	1098.88	1097	1219	1131	1307	780	838	913.3
MT2950	MT2950	hypothetical protein	human_sputum:12%	-0.1469	0.653900944861708	1092.59	1007	1067	990	1366	1053	567.25	627.35
gpsI	Rv2783c	bifunctional guanosine pentaphosphate synthetase/polyribonucleotide nucleotidyltransferase	high_iron:11%	-0.1207	0.292154876812003	1089.11	1128	1275	1087	1262	741	1006.23	1092.53
ltp3	Rv3523	lipid carrier protein	cholesterol:10%; nutrient_limitation:10%	-0.1424	0.557961122959689	1094.84	993	1114	1088	1378	927	124.91	137.94
mazF8	Rv2274c	toxin MazF8	hypoxia_late:16%	-0.2336	0.988456421688876	1096.36	1158	702	915	1516	1285	18.42	22
Rv1584c	Rv1584c	phage protein	ctl_stationary:10%; nutrient_limitation:10%	-0.1826	0.864920793841623	1104.68	991	867	999	1556	1170	158.83	181.69
MT0568	MT0568	hypothetical protein	acidic_tyloxopol:10%	-0.1412	0.542731903809126	1089.12	1040	1117	1076	1357	882	487.04	537.31
fbpA	Rv3804c	diacylglycerol acyltransferase/mycolyltransferase Ag85A	hypoxia_rar:13%; acidic:10%	-0.1272	0.358033372995183	1085.24	1088	1209	1109	1274	782	2529.64	2758.74
mazE8	Rv2274A	antitoxin MazE8	human_sputum:23%; INDIGO_exponential:12%; hypoxia_rar:11%	-0.1981	0.909722563752705	1117.58	1026	882	989	1592	1161	75.37	86.96
Rv3466	Rv3466	hypothetical protein	hypoxia_late:16%; ctl_stationary:11%	-0.1656	0.736370894542373	1095.76	933	975	968	1473	1173	41.89	47.2
Rv2803	Rv2803	hypothetical protein	hypoxia_late:22%	-0.1793	0.840332943696715	1104.35	943	921	952	1493	1268	29.73	33.78
ribA2	Rv1415	bifunctional riboflavin biosynthesis GTP cyclohydrolase II/3,4-dihydroxy-2-butanone 4-phosphate	INDIGO_exponential:10%	-0.1338	0.433789668333705	1091.43	1042	1162	1116	1337	832	337.08	369.8
MT0937	MT0937	hypothetical protein	human_sputum:15%	-0.1614	0.700665314887859	1093.96	948	1012	986	1429	1127	89.75	100.48
cobN	Rv2062c	cobalamin biosynthesis protein CobN	hypoxia_late:16%	-0.137	0.468274869150201	1089.87	1041	1149	1132	1316	840	89.75	98.62
Rv1290A	Rv1290A	hypothetical protein	hypoxia_late:26%; human_sputum:13%	-0.1951	0.918736106025293	1088.76	928	779	817	1711	1344	24.61	28.56
proX	Rv3759c	glycine betaine/carnitine/choline/L-proline ABC transporter substrate-binding lipoprotein ProX	high_iron:8%	-0.1346	0.461832264515404	1078.99	1039	1142	1045	1312	880	223.2	245.03
vapC46	Rv3384c	ribonuclease VapC46	high_iron:9%	-0.1472	0.594964481785244	1076.23	999	1087	969	1354	994	193.81	214.53
MT2617	MT2617	hypothetical protein	acidic:16%	-0.1551	0.623218301567278	1087.68	936	1020	1035	1433	1046	308.48	344.39
alkA	Rv1317c	bifunctional regulatory protein/DNA repair enzyme AlkA	nutrient_limitation:23%; PBS_RIF_DDmtb:15%	-0.1371	0.45787064011356	1080.79	1032	1140	1074	1328	857	186.91	205.51
Rv1752	Rv1752	hypothetical protein	INDIGO_exponential:11%; hypoxia_late:11%; high_iron:11%	-0.1521	0.619217864335806	1074.55	962	1033	984	1375	1043	143.53	159.79
Rv2532c	Rv2532c	hypothetical protein	low_iron:9%	-0.1473	0.582462048045481	1073.09	981	1058	1000	1356	992	206.86	229.29
Rv1582c	Rv1582c	phage protein	microaerophilic:19%; hypoxia_late:11%; ctl_stationary:11%	-0.1716	0.740824686607401	1085.05	958	971	1041	1417	1068	26.25	29.74
Rv2515c	Rv2515c	hypothetical protein	ctl_stationary:17%; PBS_RIF_DDmtb:15%; hypoxia_fatty_acids:12%; hypoxia_late:11%	-0.1699	0.721144310280363	1088.48	917	968	956	1489	1160	19.13	21.71
MT1181	MT1181	hypothetical protein	nutrient_limitation:9%	-0.1742	0.757643333498539	1083.67	969	963	1028	1423	1066	117.95	133.29
Rv0674	Rv0674	hypothetical protein	PBS_RIF_DDmtb:23%	-0.155	0.621191577315793	1073.94	955	1029	1031	1369	1009	82.85	92.26
valV	Rvnt23	tRNA-Val	tyloxopol:15%; hypoxia_late:11%; butyrate_plus_glucose:11%	-0.2266	0.975034307287524	1078.14	1067	668	885	1628	1265	60.62	71.41
Rv3160c	Rv3160c	TetR family transcriptional regulator	hypoxia_fatty_acids:26%; microaerophilic:19%; ctl_stationary:12%; nutrient_limitation:12%	-0.1557	0.596079213831446	1071.83	963	1034	1044	1355	985	110.56	123.1
vapC27	Rv0598c	ribonuclease VapC27	tyloxopol:10%	-0.1593	0.629716021894737	1065.54	984	1021	1038	1358	950	223.41	249.6
Rv2688c	Rv2688c	antibiotic ABC transporter ATP-binding protein	PBS_RIF_DDmtb:12%; ctl_stationary:10%	-0.1622	0.637994124041023	1073.71	911	991	983	1442	1079	50.31	56.62
mqo	Rv2852c	malate:quinone oxidoreductase	microaerophilic:18%	-0.138	0.41530170852704	1064.25	1023	1139	1055	1295	836	189.09	208.1
Rv3177	Rv3177	peroxidase	hypoxia_late:16%; butyrate:12%; ctl_stationary:11%	-0.2065	0.918425997968409	1079.19	1072	899	992	1290	1164	13.08	15.2
Rv3191c	Rv3191c	transposase	acidic:10%	-0.1472	0.492933056341267	1070.66	964	1086	1066	1352	911	161.2	178.8
Rv0106	Rv0106	hypothetical protein	zinc_limitation:74%	-0.1794	0.753096968707229	1075.21	952	956	1013	1411	1075	22.83	25.96
PE_PGRS13	Rv0833	PE-PGRS family protein PE_PGRS13	microaerophilic:24%; hypoxia_late:19%	-0.1598	0.596977748896163	1056.29	1029	1032	1079	1299	865	76	84.82
Rv2237A	Rv2237A	hypothetical protein	acidic_tyloxopol:10%	-0.1545	0.553556768116231	1055.87	959	1027	1033	1333	949	377.39	419.76
vapB2	Rv0300	antitoxin VapB2	INDIGO_exponential:10%	-0.1431	0.45915126846574	1046.64	1003	1092	976	1283	899	636.98	703.11
Rv2209	Rv2209	integral membrane protein	PBS_RIF_DDmtb:8%	-0.1455	0.430656854435191	1054.73	982	1093	1072	1300	852	146.11	161.67
arsB2	Rv3578	arsenic transport integral membrane protein ArsB	hypoxia_late:18%; PBS_RIF_DDmtb:15%; human_sputum:11%	-0.1493	0.495794580889188	1048.52	974	1066	1022	1286	913	89.97	99.77
Rv2799	Rv2799	membrane protein	butyrate:9%	-0.1555	0.563760826940786	1045.62	992	1019	1025	1303	909	168.16	187.22
Rv3175	Rv3175	amidase	hypoxia_late:17%; butyrate:14%	-0.1712	0.656736393035666	1053.54	979	997	1037	1343	935	45.92	51.74
lppO	Rv2290	lipoprotein LppO	human_sputum:12%	-0.1519	0.499961547129332	1048.4	949	1048	1023	1319	925	209.46	232.84
Rv3773c	Rv3773c	hypothetical protein	hypoxia_late:9%	-0.1707	0.61926728013882	1060.4	916	1001	1007	1364	1040	73.51	82.75
MT4035.1	MT4035.1	hypothetical protein	microaerophilic:18%; ctl_stationary:12%	-0.1664	0.60201599432272	1051.84	945	984	1030	1396	936	421.55	474.13
dxs1	Rv2682c	1-deoxy-D-xylulose 5-phosphate synthase	high_iron:7%	-0.1303	0.258157690133684	1038.26	1071	1182	1047	1212	720	309.85	338.74
Rv2004c	Rv2004c	hypothetical protein	hypoxia_hypoxic:20%; cholesterol:19%; microaerophilic:14%	-0.1747	0.726451425929309	1034.24	1027	939	979	1317	932	47.53	53.92
trmU	Rv3024c	tRNA-specific 2-thiouridylase	hypoxia_late:9%	-0.1463	0.441544248662157	1041.24	987	1078	1014	1271	876	133.67	147.85
nanT	Rv1902c	sialic acid-transport integral membrane protein NanT	human_sputum:10%	-0.1505	0.493937249677152	1033.95	961	1054	943	1293	939	72.92	81.08
nrdI	Rv3052c	NrdI protein	low_iron:10%	-0.1506	0.421805196834305	1060.14	980	1120	1100	1325	810	1281.11	1419.99
fadD22	Rv2948c	p-hydroxybenzoyl--AMP ligase	INDIGO_exponential:14%; acidic:11%	-0.1824	0.734325504726728	1047.9	1012	962	997	1222	1056	399.86	453.29
PE33	Rv3650	PE family protein PE33	hypoxia_late:41%	-0.2478	0.971779590967995	1063.37	1056	674	933	1487	1259	15.9	19.22
Rv2654c	Rv2654c	antitoxin	hypoxia_late:79%	-0.3137	0.998837904878333	1022.69	1222	471	574	1637	1507	2.68	3.85
Rv1303	Rv1303	hypothetical protein	INDIGO_exponential:15%; tyloxopol:12%; ctl_exponential:10%	-0.1411	0.320571058330083	1036.02	1009	1122	1067	1260	757	895.58	986.3
MT0328.1	MT0328.1	hypothetical protein	ctl_stationary:9%	-0.1533	0.506229698984895	1029.59	953	1036	934	1305	942	350.86	390.16
Rv0508	Rv0508	hypothetical protein	tyloxopol:11%	-0.1561	0.519229085276991	1030.56	956	1014	974	1270	955	256.15	284.99
panB	Rv2225	3-methyl-2-oxobutanoate hydroxymethyltransferase	acidic_tyloxopol:7%	-0.142	0.356173206674422	1027.84	1013	1110	995	1216	826	244.61	269.7
lgt	Rv1614	prolipoprotein diacylglyceryl transferase	ctl_exponential:14%; high_iron:12%; INDIGO_exponential:10%	-0.1287	0.198917788312568	1029.67	1078	1194	1056	1189	680	755.24	824.76
MT0853	MT0853	hypothetical protein	INDIGO_exponential:10%	-0.1845	0.703747684630261	1048.55	862	889	920	1479	1152	133.35	152.03
moaC3	Rv3324c	cyclic pyranopterin monophosphate synthase accessory protein	hypoxia_late:21%; human_sputum:14%; ctl_stationary:10%	-0.2012	0.861443324028396	1047.33	938	828	846	1511	1187	18.75	21.75
gap	Rv1436	glyceraldehyde 3-phosphate dehydrogenase	tyloxopol:12%	-0.1391	0.2908532064903	1030.89	1025	1123	1078	1231	734	726.06	798.3
fadB4	Rv3141	NADPH quinone oxidoreductase FadB	INDIGO_exponential:7%	-0.1428	0.328763668683471	1029.96	996	1103	1058	1243	779	358.12	395.14
eccE5	Rv1797	ESX-5 type VII secretion system protein EccE	acidic:8%	-0.1325	0.234533026535896	1022.19	1052	1160	1060	1193	690	700.1	766.55
aprA	Rv2395A	acid and phagosome regulated protein AprA	acidic:18%; cholesterol:15%; nutrient_limitation:13%	-0.1742	0.670547573651277	1021.75	1024	937	1011	1179	966	4685.27	5278.37
Rv2599	Rv2599	membrane protein	hypoxia_late:12%; PBS_RIF_DDmtb:10%	-0.1794	0.696170585012507	1026.9	895	885	854	1404	1147	51.86	58.9
serV	Rvnt41	tRNA-Ser	human_sputum:18%; hypoxia_late:16%	-0.2181	0.911159668437326	1046.43	1015	786	939	1393	1148	122.04	141.87
Rv2040c	Rv2040c	sugar ABC transporter permease	hypoxia_late:13%	-0.1768	0.653440768346572	1029.71	866	911	894	1405	1119	29.22	33.25
fadE19	Rv2500c	acyl-CoA dehydrogenase FadE19	microaerophilic:24%; low_iron:10%	-0.1516	0.422262055351666	1027.38	954	1050	1009	1273	872	126.62	140.77
MTS0643	MTS0643	small intergenic RNA	INDIGO_exponential:8%	-0.1727	0.603268520773013	1024.65	932	930	1005	1336	947	174.2	196.53
lppE	Rv1881c	lipoprotein LppE	tyloxopol:10%	-0.1595	0.463029341205372	1030.77	942	1040	1027	1275	890	271.21	302.42
Rv1727	Rv1727	hypothetical protein	hypoxia_late:29%	-0.1793	0.638691990935047	1031.02	894	929	964	1297	1096	48.38	54.75
mbtF	Rv2379c	peptide synthetase	low_iron:40%; hypoxia_late:10%	-0.1473	0.355048818515162	1023.11	967	1089	1032	1240	812	52.31	58.06
Rv1868	Rv1868	hypothetical protein	hypoxia_late:14%; PBS_RIF_DDmtb:12%	-0.145	0.343052505708514	1015.13	977	1082	1002	1218	818	101.15	111.96
MT3282	MT3282	hypothetical protein	hypoxia_late:23%; zinc_limitation:11%; ctl_stationary:11%	-0.2671	0.980510871708757	1046.23	1001	613	734	1740	1334	15.93	19.86
dnaG	Rv2343c	DNA primase	hypoxia_late:9%	-0.142	0.305056464976214	1019.63	1008	1102	1042	1213	762	166.9	184
Rv2160c	Rv2160c	conserved hypothetical protein	microaerophilic:31%; cholesterol:13%	-0.1698	0.55270498321983	1024.84	972	979	1051	1288	858	469.74	527.41
ribG	Rv1409	bifunctional riboflavin biosynthesis diaminohydroxyphosphoribosylaminopyrimidine	low_iron:9%	-0.1397	0.264259650574927	1016.48	1016	1116	1049	1207	729	405.36	446.13
scoA	Rv2504c	succinyl-CoA:3-ketoacid-CoA transferase subunit A	butyrate:34%; butyrate_plus_glucose:17%	-0.181	0.687160381975915	1008.12	997	890	967	1308	905	109.58	124.73
Rv2262c	Rv2262c	conserved hypothetical protein	hypoxia_late:31%	-0.1741	0.567697102863871	1020.26	884	969	978	1280	1011	36.66	41.45
Rv2749	Rv2749	hypothetical protein	zinc_limitation:7%	-0.1702	0.550553378918438	1012.35	868	936	923	1349	1019	154.47	174.26
Rv1046c	Rv1046c	hypothetical protein	human_sputum:20%	-0.1811	0.674489241352215	1006.74	986	887	971	1313	904	181.07	206.02
Rv0138	Rv0138	hypothetical protein	INDIGO_exponential:10%	-0.1757	0.579217147748083	1013.5	910	957	935	1248	1035	70.34	79.34
MT1055	MT1055	hypothetical protein	acidic_tyloxopol:20%; butyrate_plus_glucose:15%; butyrate:12%; tyloxopol:11%	-0.2434	0.954192291554086	1012.74	1044	693	806	1395	1207	26.18	31.15
folK	Rv3606c	2-amino-4-hydroxy-6- hydroxymethyldihydropteridinepyrophosphokinase	microaerophilic:38%	-0.1524	0.373858852493239	999.34	944	1030	948	1234	860	260.41	289.57
acrA1	Rv3391	acyl-CoA-reductase AcrA	hypoxia_late:17%; human_sputum:11%	-0.1613	0.444497570629647	1007.26	920	1000	987	1239	907	40.66	45.55
MT3580.1	MT3580.1	hypothetical protein	hypoxia_late:14%	-0.2941	0.992836846320122	996.63	1099	504	617	1518	1478	15.48	19.38
Rv3705c	Rv3705c	hypothetical protein	low_iron:8%	-0.1676	0.47238894609749	998.95	914	972	962	1235	928	100.22	112.47
Rv1587c	Rv1587c	hypothetical protein	hypoxia_fatty_acids:20%; butyrate:14%; hypoxia_late:11%	-0.1718	0.507985955869748	998.3	888	953	947	1272	953	49.11	55.39
eccE1	Rv3882c	ESX-1 secretion system protein EccE1	high_iron:9%	-0.1434	0.242424821638527	995.7	1005	1106	1004	1161	732	264.71	292.02
ASpks	ASpks	putative small regulatory RNA	hypoxia_late:38%; human_sputum:13%	-0.1858	0.64789886217118	1002.64	869	878	832	1384	1100	172.04	195.91
Rv2484c	Rv2484c	diacyglycerol O-acyltransferase	microaerophilic:18%; acidic:12%; ctl_stationary:10%	-0.1566	0.368869557238106	996.66	976	1016	1029	1211	776	153.18	170.63
Rv1322	Rv1322	hypothetical protein	butyrate_plus_glucose:12%	-0.1999	0.740269511991712	1011.6	921	815	954	1278	1122	516.37	593.76
Rv1585c	Rv1585c	phage protein	hypoxia_fatty_acids:28%; microaerophilic:12%; ctl_stationary:12%; butyrate:11%	-0.2073	0.801802321944392	1007.61	990	859	941	1340	940	71.07	82.42
thiL	Rv2977c	thiamine-monophosphate kinase	zinc_limitation:18%; hypoxia_late:14%	-0.1516	0.302878630233965	989.09	960	1044	998	1165	797	197.17	218.79
Rv0029	Rv0029	hypothetical protein	zinc_limitation:9%	-0.1622	0.39666700291127	993.4	931	1006	973	1194	877	85.63	95.75
Rv1138c	Rv1138c	oxidoreductase	PBS_RIF_DDmtb:18%; hypoxia_late:13%	-0.182	0.562562372716199	1000.68	871	941	966	1219	1023	30.29	34.38
MTS1850	MTS1850	small intergenic RNA	acidic:16%; cholesterol:13%; nutrient_limitation:12%	-0.1812	0.616468642104706	984.2	988	892	980	1132	937	3240.92	3669.31
Rv1928c	Rv1928c	short-chain type dehydrogenase/reductase	ctl_stationary:14%; PBS_RIF_DDmtb:13%; hypoxia_late:11%	-0.1781	0.556209670728204	986.02	864	916	859	1302	1021	43.69	49.58
cobD	Rv2236c	cobalamin biosynthesis transmembrane protein CobD	hypoxia_late:31%	-0.1821	0.536352711259834	1001.42	852	944	951	1321	969	42.91	48.81
Rv0191	Rv0191	MFS-type transporter	hypoxia_late:15%	-0.1541	0.328845462241553	983.16	946	1047	946	1178	817	121.27	134.88
mcr7	Rvnc0014	putative small regulatory RN	acidic:15%; cholesterol:13%; nutrient_limitation:12%	-0.1794	0.597127172284728	980.33	994	901	975	1120	919	2921.47	3303.82
Rv2260	Rv2260	hypothetical protein	ctl_exponential:9%	-0.1522	0.324179767027634	979.17	957	1035	926	1166	828	241.64	268.29
PE9	Rv1088	PE family protein PE9	hypoxia_late:46%; ctl_stationary:13%	-0.2466	0.923905173963273	997.12	950	692	816	1409	1201	9.49	11.43
MT2364.1	MT2364.1	hypothetical protein	ctl_stationary:8%	-0.2483	0.943238169364383	988.05	912	611	678	1547	1360	33.42	40.29
Rv0580c	Rv0580c	hypothetical protein	cholesterol:22%	-0.1742	0.504427515212021	985.03	877	947	900	1255	968	97.28	109.78
Rv0421c	Rv0421c	hypothetical protein	low_iron:17%	-0.1726	0.465022736707759	986.87	937	959	991	1214	851	159.69	179.74
fadD3	Rv3561	fatty-acid--CoA ligase FadD3	human_sputum:37%; hypoxia_late:23%	-0.1775	0.503289222268605	988.24	858	945	937	1263	961	25.73	29.23
Rv3294c	Rv3294c	hypothetical protein	hypoxia_late:27%; ctl_stationary:11%	-0.196	0.675844914139709	988.18	908	869	890	1247	1051	26.79	30.78
ctaB	Rv1451	protoheme IX farnesyltransferase	INDIGO_exponential:9%	-0.1428	0.203819651560639	978.35	1002	1097	982	1144	700	408.08	450.14
lepB	Rv2903c	signal peptidase	high_iron:10%	-0.1371	0.153970680130244	982.45	1028	1129	1015	1128	656	1121.25	1231.56
Rv0862c	Rv0862c	hypothetical protein	hypoxia_late:22%	-0.1618	0.345699342800493	983.24	915	999	981	1206	834	56.36	63.11
MT2721	MT2721	hypothetical protein	hypoxia_fatty_acids:13%; PBS_RIF_DDmtb:11%	-0.2191	0.847733702185106	993.76	965	762	908	1296	1077	33.51	39.13
Rv1257c	Rv1257c	oxidoreductase	ctl_stationary:8%	-0.1468	0.246998214754929	974.12	983	1073	942	1142	754	183.94	203.44
Rv2087	Rv2087	conserved hypothetical protein	butyrate:23%; hypoxia_late:15%; ctl_stationary:10%	-0.305	0.994309794204	962.14	1085	430	521	1619	1471	3.88	5.31
treY	Rv1563c	maltooligosyl trehalose synthase	hypoxia_late:20%	-0.1595	0.359312688234687	974.64	922	1011	896	1186	874	42.22	47.28
Rv3182	Rv3182	hypothetical protein	human_sputum:12%; hypoxia_hypoxic:12%; hypoxia_fatty_acids:10%	-0.2132	0.816866336009694	982.49	966	776	918	1292	995	60.11	69.76
Rv1910c	Rv1910c	hypothetical protein	acidic_tyloxopol:11%; hypoxia_late:10%	-0.1817	0.552489406316741	976	879	913	889	1205	1012	54.06	61.22
kmtR	Rv0827c	HTH-type transcriptional regulator KmtR	butyrate:26%; hypoxia_fatty_acids:10%; cholesterol:10%	-0.2126	0.759706977858003	990.41	919	743	938	1435	978	98.89	115.35
PE_PGRS18	Rv0980c	PE-PGRS family protein PE_PGRS18	hypoxia_late:13%	-0.1539	0.291262847952519	973.02	951	1031	959	1139	801	121.8	135.37
sigG	Rv0182c	ECF RNA polymerase sigma factor SigG	zinc_limitation:16%	-0.1558	0.306250449747599	971.59	934	1017	936	1176	813	156.6	174.61
PE1	Rv0151c	PE family protein PE1	hypoxia_late:17%; PBS_RIF_DDmtb:17%; human_sputum:11%; ctl_stationary:11%	-0.1702	0.457249753420752	969.23	873	958	850	1245	944	28.03	31.7
vapB23	Rv2862A	antitoxin VapB23	hypoxia_late:20%; ctl_stationary:16%; PBS_RIF_DDmtb:16%	-0.2739	0.955979164913639	993.39	1033	648	823	1314	1229	16.05	19.62
TB8.4	Rv1174c	low molecular weight T-cell antigen	acidic:8%	-0.1405	0.16099923430581	971.82	1019	1113	985	1123	660	1770.34	1948.49
cyp132	Rv1394c	cytochrome P450 Cyp132	PBS_RIF_DDmtb:16%; nutrient_limitation:10%	-0.1781	0.476887463782286	978.48	830	909	940	1284	958	33.02	37.57
egtE	Rv3700c	pyridoxal-phosphate-dependent protein EgtE	hypoxia_late:18%	-0.1686	0.357909865105643	975.22	896	982	993	1183	839	93.58	105.03
Rv3566A	Rv3566A	hypothetical protein	hypoxia_fatty_acids:12%	-0.1981	0.647022984542515	983.49	827	822	861	1368	1092	72.58	83.4
Rv3333c	Rv3333c	hypothetical protein	hypoxia_late:34%	-0.1955	0.593592731184274	985.28	838	886	914	1287	1032	26.03	29.92
Rv0145	Rv0145	S-adenosylmethionine-dependent methyltransferase	nutrient_limitation:14%; PBS_RIF_DDmtb:10%	-0.1496	0.200330076231462	975.22	971	1083	1026	1151	682	707.37	783.5
Rv3827c	Rv3827c	transposase	zinc_limitation:25%	-0.1477	0.212781331649545	965.68	973	1062	988	1131	704	257.92	285.39
irtB	Rv1349	iron ABC transporter ATP-binding protein/permease IrtB	low_iron:24%; hypoxia_late:16%	-0.1759	0.457812153997112	974.99	860	948	917	1232	938	27.68	31.39
rhlE	Rv3211	ATP-dependent RNA helicase RhlE	hypoxia_hypoxic:10%	-0.149	0.20011636123925	973.38	970	1071	1024	1154	684	821.98	910.47
glyA2	Rv0070c	serine hydroxymethyltransferase	hypoxia_late:13%; acidic_tyloxopol:11%	-0.1906	0.580336606290144	974.83	857	864	929	1298	957	25.41	29.19
