GENE_NAME	GENE_ID	PRODUCT	CellType	LOG2FOLD	AVG_PVALUE	AVG_RANK	RoundRobin	RankProduct	SAM	EdgeR	DESeq	Rv0494_ATC_RIF	Rv0494_ATC_noDrug
Rv2983	Rv2983	2-phospho-L-lactate guanylyltransferase	hypoxia_late:35%	-0.1273	0.979095537394819	717.56	599	562	573	978	933	32.98	36.13
ilvC	Rv3001c	ketol-acid reductoisomerase	acidic:9%	-0.101	0.878209368679239	689.2	695	853	776	630	517	477.43	509.63
echA21	Rv3774	enoyl-CoA hydratase EchA21	tyloxopol:12%	-0.1056	0.902268437030096	695.53	700	833	807	633	528	552.69	591.66
fadD1	Rv1750c	fatty-acid--CoA ligase FadD1	hypoxia_late:13%	-0.1224	0.972630785696485	708.51	677	687	696	731	753	30.93	33.69
Rv0248c	Rv0248c	succinate dehydrogenase flavoprotein subunit	tyloxopol:9%	-0.1017	0.883511837515223	685.11	728	848	788	618	477	412.53	440.53
TB15.3	Rv1636	iron-regulated universal stress protein	hypoxia_hypoxic:10%	-0.1154	0.94056623011454	699.83	707	782	802	644	577	353.37	380.62
lpqS	Rv0847	lipoprotein LpqS	microaerophilic:28%; hypoxia_fatty_acids:26%	-0.1045	0.896773205761854	684.32	636	817	716	620	642	307	328.35
gatC	Rv3012c	glutamyl-tRNA(GLN) amidotransferase subunit C	hypoxia_rar:14%; hypoxia_late:12%; hypoxia_hypoxic:11%	-0.1659	0.995879614978902	728.54	792	534	634	810	904	33.92	38.04
Rv3237c	Rv3237c	hypothetical protein	acidic:16%	-0.1156	0.936012021165526	695.44	560	674	665	782	811	101.81	110.12
lprF	Rv1368	lipoprotein LprF	acidic:15%	-0.1112	0.939486687265799	673.63	757	792	709	586	542	228.89	245.99
Rv1592c	Rv1592c	hypothetical protein	ctl_stationary:13%	-0.1469	0.988931118049905	723.61	765	592	753	654	870	205.98	226.99
MT0492	MT0492	hypothetical protein	hypoxia_hypoxic:24%	-0.1495	0.990654051381415	723.26	713	599	633	771	922	108.39	119.48
Rv2077A	Rv2077A	hypothetical protein	hypoxia_late:17%; ctl_stationary:13%; PBS_RIF_DDmtb:12%; hypoxia_rar:10%	-0.1875	0.99804263520048	731.33	809	518	591	854	929	19.9	22.68
Rv2286c	Rv2286c	hypothetical protein	hypoxia_late:12%	-0.1266	0.971439362757602	704.82	615	642	650	772	860	37.39	40.73
Rv1287	Rv1287	HTH-type transcriptional regulator	acidic_tyloxopol:24%; hypoxia_fatty_acids:13%	-0.1225	0.972854650083162	689.32	698	683	661	667	739	96.56	104.65
Rv2409c	Rv2409c	hypothetical protein	hypoxia_late:9%	-0.118	0.960228940344621	683.52	746	727	724	609	618	107.6	116.17
MT0726.1	MT0726.1	hypothetical protein	human_sputum:14%; hypoxia_rar:12%	-0.1024	0.860133429066078	679.44	642	842	771	615	548	1030.66	1101.16
cas1	Rv2817c	CRISPR-associated endonuclease Cas1	tyloxopol:22%; ctl_exponential:14%; INDIGO_exponential:14%	-0.1215	0.970231652867897	676.99	867	752	756	583	466	450.54	487.79
mtrB	Rv3245c	two component sensory histidine kinase MtrB	PBS_RIF_DDmtb:11%	-0.0953	0.805977963427649	667.89	684	872	745	617	458	482.99	513.63
rpmH	Rv3924c	50S ribosomal protein L34	INDIGO_exponential:10%	-0.104	0.882293531870879	658.88	626	790	643	614	629	872.8	933.73
Rv0424c	Rv0424c	hypothetical protein	butyrate_plus_glucose:9%	-0.1103	0.91084760674558	674.55	657	779	715	616	613	450.8	484.16
Rv3190c	Rv3190c	hypothetical protein	zinc_limitation:12%	-0.1181	0.953100900509295	672.43	724	731	713	599	602	73.22	79.11
Rv2517c	Rv2517c	hypothetical protein	hypoxia_fatty_acids:32%	-0.124	0.962120795466036	693.07	557	608	551	814	984	83.73	90.9
fum	Rv1098c	fumarate hydratase	tyloxopol:11%	-0.1006	0.830010273899607	668.31	661	857	731	610	508	285.97	305.16
Rv1507A	Rv1507A	hypothetical protein	human_sputum:13%	-0.1291	0.97424664652854	688.02	710	663	719	677	672	102.48	111.5
argD	Rv1655	acetylornithine aminotransferase	hypoxia_late:20%; hypoxia_hypoxic:14%	-0.1302	0.963859419858007	706.45	704	709	767	712	643	52.74	57.44
Rv3404c	Rv3404c	hypothetical protein	INDIGO_exponential:8%	-0.1224	0.954753424570318	685.8	734	733	754	619	597	136.53	147.84
Rv1893	Rv1893	hypothetical protein	acidic_tyloxopol:15%	-0.1335	0.97564403859545	700.87	716	684	695	680	730	178.72	194.88
Rv0996	Rv0996	transmembrane protein	microaerophilic:19%	-0.0989	0.814559080689429	664.71	667	867	712	606	499	397.24	423.4
Rv0769	Rv0769	oxidoreductase	butyrate:16%; hypoxia_fatty_acids:11%; ctl_stationary:10%	-0.1473	0.979721028205227	734.32	685	614	733	863	789	32.96	36.5
canA	Rv1284	beta-carbonic anhydrase	acidic_tyloxopol:18%	-0.1687	0.984566171583793	767.09	731	536	836	942	823	28.07	31.47
MT1916	MT1916	hypothetical protein	hypoxia_late:17%; PBS_RIF_DDmtb:14%; ctl_stationary:11%	-0.1164	0.92301855251007	676.08	553	694	620	728	799	28.56	30.97
Rv3618	Rv3618	monooxygenase	hypoxia_late:10%	-0.1175	0.923960011887967	676.12	575	714	632	702	766	41.28	44.68
vapB38	Rv2493	antitoxin VapB38	human_sputum:10%	-0.1144	0.921745273641903	655.4	586	692	506	706	808	206.24	222.29
fdxC	Rv1177	ferredoxin FdxC	INDIGO_exponential:8%	-0.1013	0.808483526632619	654.07	653	831	720	607	485	1600.95	1708.97
Rv0361	Rv0361	membrane protein	human_sputum:14%	-0.1103	0.864828246143703	657.15	606	774	732	600	585	153.87	165.24
Rv2951c	Rv2951c	phthiodiolone/phenolphthiodiolone dimycocerosates ketoreductase	INDIGO_exponential:10%	-0.1097	0.875055398442206	643.61	687	767	744	572	473	387.81	416.57
Rv2294	Rv2294	cystathionine beta-lyase	hypoxia_late:15%	-0.1382	0.968484603336996	697.17	718	718	747	679	627	39.9	43.75
Rv2954c	Rv2954c	hypothetical protein	INDIGO_exponential:10%	-0.1165	0.923705823912431	645.82	740	732	708	564	504	314.19	338.88
MT2367.1	MT2367.1	hypothetical protein	human_sputum:12%; hypoxia_late:10%	-0.1442	0.981950991905459	685.47	646	568	635	739	857	61.21	67.49
fadD31	Rv1925	fatty-acid--CoA ligase FadD31	tyloxopol:10%	-0.1005	0.767829577241785	648.01	652	864	755	578	434	1243.95	1327.21
acn	Rv1475c	iron-regulated aconitate hydratase	INDIGO_exponential:10%	-0.0975	0.753474817516141	639.85	675	856	686	591	430	343.92	366.36
vapB4	Rv0596c	antitoxin VapB4	hypoxia_late:13%; PBS_RIF_DDmtb:11%; ctl_stationary:11%	-0.1786	0.993588606975017	712.79	669	472	577	905	1011	23.33	26.34
Rv1271c	Rv1271c	hypothetical protein	human_sputum:14%; ctl_exponential:12%	-0.1199	0.930351348802628	644.14	641	693	637	613	638	227.95	246.54
Rv1459c	Rv1459c	alpha-(1->6)-mannopyranosyltransferase	low_iron:10%; hypoxia_late:10%	-0.1048	0.84708680060079	631.28	620	783	578	598	588	76.02	81.47
lipJ	Rv1900c	lignin peroxidase LipJ	PBS_RIF_DDmtb:7%	-0.1216	0.938138974009907	640.4	730	678	717	573	518	139.97	151.77
espG2	Rv3889c	ESX-2 secretion-associated protein EspG2	human_sputum:9%	-0.1217	0.928466379405589	651.31	607	690	648	645	668	69.88	75.75
Rv3267	Rv3267	hypothetical protein	human_sputum:11%	-0.1006	0.771419007161917	634.66	650	828	693	588	446	442.12	471.9
Rv0360c	Rv0360c	hypothetical protein	hypoxia_late:17%; ctl_exponential:11%	-0.1478	0.984758364319054	668.32	770	579	641	662	697	73.32	81.05
Rv2635	Rv2635	hypothetical protein	hypoxia_late:25%; ctl_stationary:18%; PBS_RIF_DDmtb:10%	-0.2398	0.999316860731323	679.85	714	239	300	1379	1138	5.21	6.55
Rv0454	Rv0454	conserved hypothetical protein	human_sputum:9%	-0.1295	0.949137189696878	664.52	573	612	657	701	790	96.9	105.54
fadE30	Rv3560c	acyl-CoA dehydrogenase FadE30	human_sputum:43%; hypoxia_late:21%	-0.1207	0.923043386268431	643.86	539	622	543	736	800	30.96	33.65
Rv3075c	Rv3075c	hypothetical protein	INDIGO_exponential:9%	-0.1043	0.797246727033373	636.29	627	816	688	579	494	403.55	431.74
Rv0428c	Rv0428c	GCN5-like N-acetyltransferase	hypoxia_late:23%	-0.1357	0.96624569998379	666.15	681	618	722	666	646	56.86	62.18
Rv0504c	Rv0504c	hypothetical protein	hypoxia_late:8%	-0.1487	0.966913055886206	703.59	719	624	773	756	652	94.51	104.23
Rv3689	Rv3689	transmembrane protein	butyrate:8%	-0.1101	0.837658025689405	635.87	634	791	714	569	493	238.17	255.81
Rv2557	Rv2557	hypothetical protein	acidic:38%; cholesterol:13%	-0.1127	0.863460165822501	631.94	628	742	681	584	535	309.38	333.18
lrpA	Rv3291c	transcriptional regulator LrpA	ctl_stationary:12%	-0.1473	0.977400594965276	678.78	666	600	679	724	729	60.43	66.72
Rv2078	Rv2078	hypothetical protein	hypoxia_late:16%	-0.1509	0.983712315605609	669.89	631	539	550	794	867	48.18	53.42
Rv1874	Rv1874	hypothetical protein	ctl_stationary:7%	-0.1269	0.935200378316945	651.11	592	631	687	672	676	77.75	84.56
blaC	Rv2068c	beta-lactamase	INDIGO_exponential:8%	-0.1213	0.929262149566204	628.28	696	672	705	556	524	151.37	163.83
Rv3272	Rv3272	hypothetical protein	PBS_RIF_DDmtb:14%	-0.1121	0.833576749750179	630.19	588	762	670	595	547	127.9	137.67
rpsA	Rv1630	30S ribosomal protein S1	INDIGO_exponential:9%	-0.1017	0.732454275438372	629.03	644	846	727	563	410	1050.29	1121.54
ureC	Rv1850	urease subunit alpha	hypoxia_late:14%	-0.1072	0.832753506589264	616.96	610	763	563	581	578	76.22	81.82
Rv2258c	Rv2258c	transcriptional regulator	zinc_limitation:14%; high_iron:10%	-0.1044	0.786873558262192	625.88	619	808	682	558	486	328.85	351.87
Rv1867	Rv1867	hypothetical protein	hypoxia_late:16%; PBS_RIF_DDmtb:14%; ctl_stationary:10%	-0.1207	0.906024173649996	635.26	533	649	579	690	736	31.49	34.23
pimE	Rv1159	polyprenol-phosphate-mannose-dependent alpha-(1-2)-phosphatidylinositol pentamannoside	hypoxia_late:8%	-0.1123	0.845725176346078	622.83	580	746	653	568	576	88.11	94.84
nagA	Rv3332	N-acetylglucosamine-6-phosphate deacetylase NagA	hypoxia_late:27%	-0.1112	0.842797436215602	621.52	590	739	636	577	573	112.17	120.68
MT3052.2	MT3052.2	ribosomal protein L28	acidic_tyloxopol:12%; acidic:12%; hypoxia_rar:12%	-0.129	0.947676441850806	625.92	656	615	660	601	599	374.93	407.91
MT3718.2	MT3718.2	hypothetical protein	hypoxia_late:30%; ctl_stationary:22%; PBS_RIF_DDmtb:14%	-0.4369	0.999394154286785	716.05	955	262	301	1334	1078	1.64	3.43
hisT	Rvnt29	tRNA-His	hypoxia_late:17%; butyrate:11%	-0.2787	0.999425238111369	673.15	739	212	261	1423	1163	10.84	13.9
cdh	Rv2289	CDP-diacylglycerol pyrophosphatase	acidic:10%	-0.1314	0.936913329491749	632.25	692	670	734	582	498	211.41	230.33
TB16.3	Rv2185c	hypothetical protein	acidic:15%	-0.1277	0.927284247035714	628.02	673	689	704	560	525	277.46	301.51
vapC4	Rv0595c	ribonuclease VapC4	PBS_RIF_DDmtb:13%; hypoxia_late:13%; ctl_stationary:10%	-0.2001	0.994555116877351	684.33	763	515	593	737	840	17.99	20.65
pyrG	Rv1699	CTP synthase	hypoxia_hypoxic:8%	-0.1232	0.926518421181908	613.04	741	661	677	540	467	161.12	174.76
Rv3126c	Rv3126c	hypothetical protein	hypoxia_late:16%; ctl_stationary:15%; hypoxia_hypoxic:15%	-0.1985	0.995328648691639	660.62	583	316	328	1227	1119	7.41	8.72
cysN	Rv1286	bifunctional sulfate adenyltransferase subunit 1 CysN/adenylylsulfate kinase CysC	acidic_tyloxopol:22%; hypoxia_fatty_acids:20%; nutrient_limitation:14%	-0.1231	0.897282918514232	622.98	570	675	663	602	608	38.21	41.49
Rv1624c	Rv1624c	membrane protein	acidic_tyloxopol:10%	-0.1207	0.895843001218382	609.66	531	620	514	663	734	84.62	91.81
Rv3698	Rv3698	hypothetical protein	hypoxia_late:26%	-0.1393	0.942937380184243	633.94	589	651	607	638	687	21.93	24.15
echA3	Rv0632c	enoyl-CoA hydratase EchA3	tyloxopol:9%	-0.1096	0.76031964780517	610.81	597	771	700	554	457	579.92	622.63
metC	Rv3340	O-acetylhomoserine sulfhydrylase	acidic_tyloxopol:22%; hypoxia_hypoxic:13%	-0.1219	0.87437618932667	619.81	537	682	603	635	647	50.37	54.68
Rv2402	Rv2402	trehalase	hypoxia_late:9%	-0.1114	0.816082205014053	597.33	568	700	595	566	563	74.76	80.56
Rv0272c	Rv0272c	hypothetical protein	microaerophilic:10%	-0.1129	0.823267376871602	599.78	574	736	581	543	574	99.57	107.22
topA	Rv3646c	DNA topoisomerase I	high_iron:10%	-0.1063	0.735514838740996	606.63	614	804	673	548	427	209.47	224.42
rpmC	Rv0709	50S ribosomal protein L29	ctl_exponential:11%	-0.1046	0.72172106571648	604.24	617	805	672	551	412	2750.36	2942.86
Rv0567	Rv0567	methyltransferase/methylase	zinc_limitation:23%	-0.1232	0.920339445327398	596.63	664	636	630	531	529	106.79	115.81
Rv0302	Rv0302	transcriptional regulator	hypoxia_fatty_acids:21%; nutrient_limitation:18%; PBS_RIF_DDmtb:12%	-0.1348	0.937542383315503	614.79	625	577	659	634	581	168.27	184.44
rplY	Rv1015c	50S ribosomal protein L25	hypoxia_rar:11%	-0.1363	0.930295321835262	621.99	662	645	718	580	515	179.99	196.85
glbO	Rv2470	hemoglobin GlbO	INDIGO_exponential:9%	-0.1346	0.93979808008029	608.97	655	623	668	561	543	224.42	245.05
Rv1532c	Rv1532c	hypothetical protein	hypoxia_late:9%	-0.1432	0.949670873187183	625.9	518	498	555	774	820	52.89	58.54
tyrS	Rv1689	tyrosine--tRNA ligase	hypoxia_late:14%	-0.122	0.859020353673812	607.56	603	679	710	557	501	128.41	139.11
fadE3	Rv0215c	acyl-CoA dehydrogenase fadE3	hypoxia_late:12%; PBS_RIF_DDmtb:10%	-0.1459	0.961388652103366	617.67	632	553	611	656	639	35.76	39.55
xseA	Rv1108c	exodeoxyribonuclease VII large subunit	high_iron:10%	-0.1087	0.751872689939317	589.06	591	745	600	546	479	272.64	292.82
Rv3727	Rv3727	oxidoreductase	nutrient_limitation:29%; PBS_RIF_DDmtb:20%	-0.1169	0.815247596534636	596.74	593	715	666	535	489	114.4	123.56
vapC15	Rv2010	ribonuclease VapC15	INDIGO_exponential:13%; hypoxia_fatty_acids:12%	-0.1192	0.814018335892021	607.78	547	704	703	571	526	430.3	465.4
MT0130	MT0130	hypothetical protein	hypoxia_late:18%; hypoxia_hypoxic:14%; ctl_stationary:10%	-0.1972	0.991115672164923	640.44	727	467	575	676	783	22.36	25.58
vapC23	Rv2863	ribonuclease VapC23	hypoxia_late:17%; ctl_stationary:14%	-0.1529	0.964009523869864	630.17	532	497	542	779	839	40.24	44.74
Rv0247c	Rv0247c	succinate dehydrogenase iron-sulfur subunit	tyloxopol:13%	-0.1206	0.852551689976686	592.12	621	695	689	532	444	408.93	442.36
Rv3688c	Rv3688c	hypothetical protein	ctl_exponential:8%	-0.1163	0.809535555468979	592.5	563	724	606	539	540	269.21	290.32
vapB2	Rv0300	antitoxin VapB2	INDIGO_exponential:10%	-0.1194	0.856877076969259	583.29	585	632	610	553	539	603.35	653.19
Rv0914c	Rv0914c	lipid carrier protein or keto acyl-CoA thiolase	hypoxia_late:14%	-0.119	0.829587690978685	589.54	581	696	654	517	511	117.38	126.88
Rv2772c	Rv2772c	transmembrane protein	hypoxia_late:9%	-0.1308	0.870337572880571	607.59	513	633	624	642	631	167.13	182.76
dprE1	Rv3790	decaprenylphosphoryl-beta-D-ribose oxidase	hypoxia_late:10%	-0.1227	0.846281483275254	590.97	527	653	622	562	595	53.31	57.81
vapB7	Rv0662c	antitoxin VapB7	hypoxia_late:40%	-0.1721	0.969746892816774	640.48	492	452	433	979	961	25.66	28.92
Rv1217c	Rv1217c	tetronasin ABC transporter integral membrane protein	cholesterol:18%; butyrate:11%; microaerophilic:11%	-0.1169	0.803257828646034	579.19	549	699	558	547	550	67.87	73.36
Rv1192	Rv1192	hypothetical protein	low_iron:13%	-0.1203	0.802983523256194	589.85	579	697	701	542	450	385.76	417.25
Rv0556	Rv0556	transmembrane protein	INDIGO_exponential:9%	-0.1223	0.828279689639238	581.42	511	610	594	597	598	180.38	195.86
lpqH	Rv3763	lipoprotein LpqH	acidic:14%; ctl_exponential:10%	-0.1338	0.909202282508106	589.16	676	626	692	534	438	648.85	708.32
hns	Rv3852	histone-like protein Hns	hypoxia_hypoxic:10%	-0.1374	0.917239526057608	590	672	628	678	550	440	782.56	856.18
Rv1505c	Rv1505c	hypothetical protein	INDIGO_exponential:14%; hypoxia_late:13%; ctl_stationary:10%	-0.1625	0.966936381330071	614.13	715	516	656	636	558	72.62	81.16
cyp125	Rv3545c	steroid C26-monooxygenase	hypoxia_fatty_acids:39%	-0.145	0.942110039443226	589.68	609	581	574	574	611	32.44	35.83
Rv0976c	Rv0976c	hypothetical protein	microaerophilic:58%; hypoxia_late:14%	-0.1255	0.847655909691802	580.17	517	634	546	592	616	37.04	40.32
Rv3210c	Rv3210c	hypothetical protein	INDIGO_exponential:12%; tyloxopol:11%	-0.1203	0.817345846597184	568.83	525	613	584	559	565	146.44	158.67
MT0525	MT0525	hypothetical protein	tyloxopol:9%	-0.1572	0.937996220907157	625.44	649	583	694	647	559	101.72	112.9
Rv2510c	Rv2510c	hypothetical protein	hypoxia_late:12%	-0.1196	0.796226778769004	572.25	535	665	614	522	532	70.48	76.27
otsB1	Rv2006	trehalose-6-phosphate phosphatase OtsB	hypoxia_hypoxic:15%; ctl_stationary:10%	-0.1326	0.861470792118595	593.18	564	598	683	608	519	56.11	61.43
Rv3604c	Rv3604c	transmembrane protein	hypoxia_late:12%	-0.1149	0.742308660791473	567.77	554	712	582	529	475	187.4	202.16
htdZ	Rv0130	3-hydroxyl-thioester dehydratase	hypoxia_late:16%	-0.1674	0.971076216837278	613.5	612	548	571	629	714	42.31	47.29
accE5	Rv3281	bifunctional protein acetyl-/propionyl-CoAcarboxylase subunit epsilon AccE	ctl_exponential:14%; acidic:10%	-0.1084	0.659723575917704	567.67	594	757	612	526	383	1093.23	1172.91
narK2	Rv1737c	nitrate/nitrite transporter	cholesterol:34%; hypoxia_hypoxic:11%	-0.1924	0.973833218558278	655.91	693	531	639	594	843	188.42	214.51
alaT	Rvnt02	tRNA-Ala	hypoxia_late:17%; tyloxopol:16%	-0.3043	0.998314362083409	637.71	643	302	282	1096	1131	18.29	23.68
mbtE	Rv2380c	peptide synthetase	low_iron:44%; human_sputum:12%	-0.1226	0.823005482052145	570.97	577	657	651	512	470	39.12	42.51
Rv0472c	Rv0472c	HTH-type transcriptional regulator	INDIGO_exponential:11%	-0.1215	0.82535687431079	563.01	600	637	616	501	471	242.29	262.44
Rv0461	Rv0461	transmembrane protein	human_sputum:10%	-0.1369	0.918741521093626	568.05	640	593	615	509	491	181.34	198.36
Rv2049c	Rv2049c	hypothetical protein	hypoxia_late:11%	-0.1362	0.896888268429118	571.73	515	552	538	575	686	173.68	189.95
Rv2750	Rv2750	dehydrogenase	ctl_exponential:8%	-0.1278	0.873098604288058	551.85	633	594	608	498	439	269.26	293.12
sahH	Rv3248c	adenosylhomocysteinase	nutrient_limitation:24%; PBS_RIF_DDmtb:21%	-0.1101	0.624092249315514	559.39	584	768	626	513	350	642.77	690.39
cas2	Rv2816c	CRISPR-associated endoribonuclease Cas2	tyloxopol:24%; ctl_exponential:15%	-0.186	0.972748328975573	621.63	639	455	627	585	831	419.79	475.12
Rv0678	Rv0678	hypothetical protein	microaerophilic:23%; ctl_stationary:21%; hypoxia_fatty_acids:16%	-0.1309	0.831026893846068	570.12	489	596	562	604	604	134.22	146.52
MT1234	MT1234	fragment of putative small regulatory RNA	hypoxia_hypoxic:16%; hypoxia_rar:13%	-0.1224	0.759333358690614	568.9	529	680	613	536	496	1851.82	2007.03
fadD19	Rv3515c	long-chain-fatty-acid--CoA ligase FadD19	hypoxia_fatty_acids:41%; ctl_stationary:10%	-0.1355	0.871431647844875	563.96	469	545	451	640	740	17.54	19.34
alaU	Rvnt37	tRNA-Ala	hypoxia_late:13%; butyrate:12%	-0.2733	0.997551789245024	617.34	630	216	354	1070	1083	16.12	20.1
Rv3591c	Rv3591c	hydrolase	hypoxia_late:28%; PBS_RIF_DDmtb:10%	-0.1709	0.964770422447792	602.51	582	532	502	650	764	19.73	22.3
fadD25	Rv1521	fatty-acid--CoA ligase FadD25	INDIGO_exponential:11%	-0.1102	0.645829399625939	546.34	578	743	540	510	390	254.18	273.13
rplP	Rv0708	50S ribosomal protein L16	high_iron:10%	-0.1149	0.655691798546344	557.16	566	748	618	518	371	1589.46	1713.14
Rv3087	Rv3087	diacyglycerol O-acyltransferase	hypoxia_late:18%; nutrient_limitation:11%	-0.1246	0.789565839005064	565.56	520	664	586	541	523	81.65	88.72
Rv3900c	Rv3900c	hypothetical protein	hypoxia_late:15%	-0.1277	0.828456597055315	552.6	559	630	572	507	500	120.94	131.65
Rv0339c	Rv0339c	transcriptional regulator	hypoxia_late:20%	-0.1164	0.718343844612195	539.12	544	681	483	493	506	53.86	58.21
mkl	Rv0655	ribonucleotide ABC transporter ATP-binding protein	INDIGO_exponential:9%	-0.1143	0.643864585523524	550.98	555	703	645	523	362	1314.5	1416.5
rplT	Rv1643	50S ribosomal protein L20	hypoxia_hypoxic:9%	-0.113	0.639932096008466	548	569	723	596	524	361	2247.59	2419.04
fadB	Rv0860	fatty oxidation protein FadB	cholesterol:15%	-0.1174	0.672016140954379	554.89	546	720	642	527	372	633.87	684.39
glnT	Rvnt16	tRNA-Gln	hypoxia_late:19%; butyrate:10%	-0.21	0.992450045716965	579.22	524	203	201	1214	1168	23.07	27.04
pstS1	Rv0934	phosphate ABC transporter substrate-binding lipoprotein PstS	tyloxopol:10%	-0.1317	0.809871413292702	567.93	562	640	685	538	432	320.69	349.58
Rv0580c	Rv0580c	hypothetical protein	cholesterol:22%	-0.1402	0.890852623193251	559.03	548	582	583	537	546	125.12	137.1
Rv3768	Rv3768	hypothetical protein	hypoxia_late:15%; human_sputum:13%; ctl_stationary:12%	-0.1907	0.973370208195501	608.99	595	474	552	652	795	28.7	32.62
fabD2	Rv0649	malonyl CoA-acyl carrier protein transacylase	hypoxia_late:67%	-0.2045	0.982240208445897	609.23	540	378	444	911	869	8.55	10.13
Rv2282c	Rv2282c	LysR family HTH-type transcriptional regulator	hypoxia_late:26%; ctl_stationary:12%	-0.192	0.979576787027322	586.95	651	417	527	641	725	11.23	12.9
Rv0027	Rv0027	hypothetical protein	ctl_stationary:8%	-0.1729	0.978743752777197	552.17	647	406	457	565	716	53.91	60.58
amiB2	Rv1263	amidase AmiB	hypoxia_late:24%; ctl_stationary:12%	-0.1597	0.927148959016896	573.56	596	543	604	555	571	24.63	27.49
proX	Rv3759c	glycine betaine/carnitine/choline/L-proline ABC transporter substrate-binding lipoprotein ProX	high_iron:8%	-0.1212	0.713152670408439	542.01	523	659	599	495	447	204.47	221.33
Rv1320c	Rv1320c	adenylate cyclase	PBS_RIF_DDmtb:15%	-0.1191	0.700970166852958	533.4	530	655	568	477	449	106.1	114.77
Rv1866	Rv1866	hypothetical protein	hypoxia_late:24%; PBS_RIF_DDmtb:10%	-0.1367	0.855426473519128	547.17	521	590	566	505	556	24.88	27.3
ctaD	Rv3043c	cytochrome C oxidase cytochrome 1	tyloxopol:14%	-0.1247	0.74561165328541	547.63	550	652	658	514	388	309.36	335.65
Rv3049c	Rv3049c	monooxygenase	low_iron:23%	-0.1201	0.679359190326166	541.99	526	643	647	521	394	406.92	440.4
Rv1524	Rv1524	glycosyltransferase	hypoxia_late:14%	-0.1554	0.908457333462402	572.13	572	538	621	596	536	43.83	48.65
accD6	Rv2247	acetyl-/propionyl-CoA carboxylase subunit beta	acidic:12%; hypoxia_hypoxic:10%; low_iron:10%	-0.1177	0.66186303929212	535.51	576	705	609	475	349	2240.7	2419.37
Rv0122	Rv0122	hypothetical protein	hypoxia_late:17%; hypoxia_hypoxic:15%	-0.2063	0.978334523537171	604.93	618	441	559	673	758	23.88	27.47
Rv0227c	Rv0227c	membrane protein	tyloxopol:11%	-0.1408	0.870578942477495	539.67	623	578	640	500	380	318.16	349.07
fadD15	Rv2187	long-chain-fatty-acid--CoA ligase FadD15	ctl_exponential:8%	-0.1383	0.851618593773325	537.28	608	589	628	466	413	111.57	122.24
narK1	Rv2329c	nitrate/nitrite transporter	acidic:13%; zinc_limitation:11%	-0.1257	0.750799176679399	535.92	545	639	619	485	409	197.71	214.65
Rv3839	Rv3839	hypothetical protein	low_iron:68%	-0.1541	0.900452168082861	561.78	481	507	504	603	732	27.12	30.14
fadH	Rv1175c	NADPH dependent 2,4-dienoyl-CoA reductase FadH	hypoxia_rar:8%	-0.1194	0.664255376505349	529.39	528	669	590	480	400	142.57	154.19
nuoC	Rv3147	NADH-quinone oxidoreductase subunit C	high_iron:15%; tyloxopol:14%; butyrate_plus_glucose:12%	-0.1252	0.762338687315968	528.45	556	616	570	482	429	304.99	331.15
mazF2	Rv0659c	toxin MazF2	human_sputum:11%	-0.1218	0.716200840628776	526.79	543	625	589	489	403	935.91	1013.76
Rv1147	Rv1147	hypothetical protein	PBS_RIF_DDmtb:15%; hypoxia_late:10%	-0.1574	0.938733093453969	537.05	613	496	510	502	569	56.02	62.27
Rv1871c	Rv1871c	hypothetical protein	acidic:9%	-0.1192	0.671301522917844	525.96	602	646	623	465	331	4183.74	4523.04
Rv3263	Rv3263	DNA methylase	hypoxia_late:12%; human_sputum:11%	-0.1414	0.833247602528536	548.47	506	563	605	549	522	46.11	50.77
phyA	Rv3397c	phytoene synthase	hypoxia_late:16%; ctl_stationary:10%	-0.1696	0.91604475601481	580.31	482	524	509	684	723	25.52	28.93
Rv2000	Rv2000	hypothetical protein	hypoxia_late:21%; ctl_stationary:11%	-0.1804	0.962227063531023	562.32	624	453	561	576	606	12.33	14.04
Rv3742c	Rv3742c	oxidoreductase	nutrient_limitation:58%; PBS_RIF_DDmtb:21%	-0.1417	0.848522650714218	535.13	458	514	453	589	678	84.34	92.8
MT1182	MT1182	hypothetical protein	acidic_tyloxopol:14%; zinc_limitation:10%	-0.1672	0.93346891041723	546.3	541	459	511	605	624	92.15	103.27
pcaA	Rv0470c	cyclopropane mycolic acid synthase	zinc_limitation:8%	-0.1168	0.614066788159357	514.28	538	677	535	470	375	385.77	416.39
rpsS	Rv0705	30S ribosomal protein S19	butyrate_plus_glucose:9%	-0.1136	0.550590846682172	512.84	558	685	544	478	333	2228.14	2399.34
MT3580.2	MT3580.2	hypothetical protein	acidic:20%; ctl_exponential:12%; hypoxia_hypoxic:12%	-0.1486	0.874938106851464	535.15	598	556	617	494	423	1261.03	1389.81
Rv2989	Rv2989	transcriptional regulator	high_iron:12%; microaerophilic:10%	-0.1643	0.911204216800351	549.52	512	454	565	499	738	435.46	486.24
eccB1	Rv3869	ESX-1 secretion system protein EccB	butyrate_plus_glucose:8%	-0.1229	0.680212064765645	517.83	542	629	602	487	354	374.39	405.77
Rv3762c	Rv3762c	hydrolase	hypoxia_late:13%	-0.132	0.77628988795182	522.46	519	597	580	460	464	58.58	63.95
Rv3683	Rv3683	hypothetical protein	PBS_RIF_DDmtb:8%	-0.1268	0.707690349974654	523.97	505	638	560	472	455	155.19	168.66
